,Date,Price
0,2021-09-01,2254.5
1,2021-10-01,2333.5
2,2021-11-01,2288.05
3,2021-12-01,2217.4
4,2022-01-01,2281.3
5,2022-02-01,2088.6
6,2022-03-01,2151.75
7,2022-04-01,2333.45
8,2022-05-01,2198.05
9,2022-06-01,2122.4
10,2022-07-01,2225.35
11,2022-08-01,2299.45
12,2022-09-01,2408.55
13,2022-10-01,2390.35
14,2022-11-01,2563.7
15,2022-12-01,2441.4
16,2023-01-01,1969.35
17,2023-02-01,1732.25
18,2023-03-01,1666.75
19,2023-04-01,1762.95
20,2023-05-01,1783.85
21,2023-06-01,1813.65
22,2023-07-01,1950.1
23,2023-08-01,1971.9
24,2023-08-22,1977.75
