,Date,Price
0,2021-09-01,79375.55
1,2021-10-01,77308.15
2,2021-11-01,74630.8
3,2021-12-01,73338.0
4,2022-01-01,72148.1
5,2022-02-01,65740.95
6,2022-03-01,65022.1
7,2022-04-01,72729.0
8,2022-05-01,77649.45
9,2022-06-01,70800.9
10,2022-07-01,83818.15
11,2022-08-01,85364.95
12,2022-09-01,81654.55
13,2022-10-01,90767.0
14,2022-11-01,93557.55
15,2022-12-01,88535.45
16,2023-01-01,90869.4
17,2023-02-01,85256.6
18,2023-03-01,84047.2
19,2023-04-01,89006.8
20,2023-05-01,97211.7
21,2023-06-01,101260.5
22,2023-07-01,102956.25
23,2023-08-01,105989.25
24,2023-08-11,105989.25
