,Date,Price
0,2021-09-01,2517.0
1,2021-10-01,2537.6
2,2021-11-01,2406.75
3,2021-12-01,2368.15
4,2022-01-01,2386.35
5,2022-02-01,2359.1
6,2022-03-01,2633.95
7,2022-04-01,2790.8
8,2022-05-01,2633.9
9,2022-06-01,2594.05
10,2022-07-01,2508.75
11,2022-08-01,2639.1
12,2022-09-01,2377.7
13,2022-10-01,2549.55
14,2022-11-01,2732.4
15,2022-12-01,2548.2
16,2023-01-01,2353.9
17,2023-02-01,2321.95
18,2023-03-01,2331.05
19,2023-04-01,2420.2
20,2023-05-01,2474.7
21,2023-06-01,2550.7
22,2023-07-01,2527.6
23,2023-08-01,2548.0
24,2023-08-11,2548.0
