,Date,Price
0,2021-09-01,1039.15
1,2021-10-01,966.75
2,2021-11-01,940.75
3,2021-12-01,909.7
4,2022-01-01,871.3
5,2022-02-01,1371.95
6,2022-03-01,1413.85
7,2022-04-01,1590.3
8,2022-05-01,1763.7
9,2022-06-01,2051.65
10,2022-07-01,2173.05
11,2022-08-01,2508.55
12,2022-09-01,2511.05
13,2022-10-01,2230.95
14,2022-11-01,2438.7
15,2022-12-01,2639.85
16,2023-01-01,2880.8
17,2023-02-01,2534.15
18,2023-03-01,2203.15
19,2023-04-01,1864.7
20,2023-05-01,2681.8
21,2023-06-01,2859.7
22,2023-07-01,2854.2
23,2023-08-01,2767.25
24,2023-08-22,2787.8
