,Date,Price
0,2021-09-01,1218.05
1,2021-10-01,1204.55
2,2021-11-01,1201.0
3,2021-12-01,1219.15
4,2022-01-01,1183.3
5,2022-02-01,1263.15
6,2022-03-01,1245.4
7,2022-04-01,1261.55
8,2022-05-01,1018.05
9,2022-06-01,972.4
10,2022-07-01,1004.75
11,2022-08-01,1001.2
12,2022-09-01,906.45
13,2022-10-01,876.2
14,2022-11-01,819.5
15,2022-12-01,799.85
16,2023-01-01,802.65
17,2023-02-01,892.0
18,2023-03-01,818.25
19,2023-04-01,799.05
20,2023-05-01,821.35
21,2023-06-01,759.75
22,2023-07-01,780.1
23,2023-08-01,828.55
24,2023-08-11,828.55
